codec,k,n,trace,assemblies,seed,schedule,gap_ms,arrivals,rank,valid,matrix_ms,encode_ms,root_ms,proof_ms,elimination_ms,backsub_ms,reencode_root_ms,elimination_before_last_ms,tail_ms,completion_ms,array_storage_bound_bytes,process_peak_rss_kib,warmup
rs16,8,10,systematic,1,103,online,0.1,8,8,1,0.003727,0.25562,0.290675,0.283583,0.005531,0.00014,0.63431,0.00489,0.670999,1.371,2883872,23824,0
rs16,8,10,systematic,1,103,online,1,8,8,1,0.003727,0.25562,0.290675,0.283583,0.005531,0.00014,0.63431,0.00489,0.670999,7.671,2883872,23824,0
rs16,8,10,systematic,1,103,online_eager,0,8,8,1,0.003727,0.25562,0.290675,0.278053,0.004648,2e-05,0.61294,0,0.895661,0.895661,2883872,23824,0
rs16,8,10,systematic,1,103,online_eager,0.1,8,8,1,0.003727,0.25562,0.290675,0.278053,0.004648,2e-05,0.61294,0.004067,0.651653,1.35165,2883872,23824,0
rs16,8,10,systematic,1,103,online_eager,1,8,8,1,0.003727,0.25562,0.290675,0.278053,0.004648,2e-05,0.61294,0.004067,0.651653,7.65165,2883872,23824,0
rlnc16,8,10,systematic,1,100,batch,0,8,8,1,0.003116,0.697829,1.7383,0.645932,0.012171,0.00032,1.36378,0,2.0222,2.0222,2883872,24016,1
rlnc16,8,10,systematic,1,100,batch,0.1,8,8,1,0.003116,0.697829,1.7383,0.645932,0.012171,0.00032,1.36378,0,1.4637,2.1637,2883872,24016,1
rlnc16,8,10,systematic,1,100,batch,1,8,8,1,0.003116,0.697829,1.7383,0.645932,0.012171,0.00032,1.36378,0,1.4637,8.4637,2883872,24016,1
rlnc16,8,10,systematic,1,100,online,0,8,8,1,0.003116,0.697829,1.7383,0.645932,0.012171,0.00032,1.36378,0,2.0222,2.0222,2883872,24016,1
rlnc16,8,10,systematic,1,100,online,0.1,8,8,1,0.003116,0.697829,1.7383,0.645932,0.012171,0.00032,1.36378,0.010718,1.45299,2.15299,2883872,24016,1
rlnc16,8,10,systematic,1,100,online,1,8,8,1,0.003116,0.697829,1.7383,0.645932,0.012171,0.00032,1.36378,0.010718,1.45299,8.45299,2883872,24016,1
rlnc16,8,10,systematic,1,100,online_eager,0,8,8,1,0.003116,0.697829,1.7383,0.588023,0.012243,7e-05,1.31103,0,1.91137,1.91137,2883872,24016,1
